,busID,ProximaParada,Ruta,Orientacion,rangoHora,tiempoRecorrido
8404,2113,204,2018,0.0,18.5,599.0
8405,2113,204,2018,0.0,19.0,281.0
8406,2113,204,2018,0.0,19.0,32.0
8407,6613,11,1061,0.0,1.0,0.0
8408,6613,11,1061,0.0,3.5,0.0
8409,6613,11,1061,0.0,6.0,0.0
8410,6613,11,1061,0.0,8.0,93.0
8411,4589,21,1110,1.0,17.0,31.0
8412,4589,21,1110,1.0,21.0,63.0
8413,4589,21,1110,1.0,23.5,31.0
8414,4589,21,1110,1.0,2.5,62.0
8415,4589,21,1110,1.0,5.0,63.0
8416,4589,21,1110,1.0,7.5,31.0
8417,191,267,2844,1.0,19.5,0.0
8418,191,267,2844,1.0,22.0,0.0
8419,191,267,2844,1.0,0.5,31.0
8420,7565,41,1435,1.0,18.0,65.0
8421,6536,156,2512,0.0,0.0,65.0
8422,6512,156,2600,1.0,5.5,33.0
8423,6068,131,2208,0.0,20.0,63.0
8424,7727,77,325,0.0,17.5,31.0
8425,7727,77,325,0.0,20.5,219.0
8426,7727,77,325,0.0,23.0,32.0
8427,7727,77,325,0.0,2.5,32.0
8428,7727,77,325,0.0,5.5,220.0
8429,3337,231,2757,1.0,18.0,157.0
8430,3337,231,2757,1.0,20.0,95.0
8431,4473,148,2348,0.0,2.0,0.0
8432,4473,148,2348,0.0,3.5,0.0
8433,3544,256,3034,0.0,5.0,32.0
8434,3416,241,156,0.0,5.5,117.0
8435,6654,91,1614,1.0,4.5,31.0
8436,8809,263,2830,1.0,3.5,32.0
8437,9056,40,1287,1.0,19.5,31.0
8438,9056,40,1287,1.0,21.5,123.0
8439,9056,40,1287,1.0,23.0,64.0
8440,9056,40,1287,1.0,1.0,32.0
8441,9056,40,1287,1.0,2.5,95.0
8442,9056,40,1287,1.0,4.5,32.0
8443,9056,40,1287,1.0,6.0,63.0
8444,4712,82,278,1.0,16.5,94.0
8445,4712,82,278,1.0,18.5,0.0
8446,4712,82,278,1.0,20.5,95.0
8447,4712,82,278,1.0,22.0,31.0
8448,4712,82,278,1.0,0.0,63.0
8449,4712,82,278,1.0,2.5,0.0
8450,4712,82,278,1.0,4.5,63.0
8451,4712,82,278,1.0,6.5,32.0
8452,4712,82,278,1.0,8.5,32.0
8453,5075,121,1924,0.0,18.0,94.0
8454,5075,121,1924,0.0,19.5,163.0
8455,5075,121,1924,0.0,3.0,125.0
8456,5075,121,1924,0.0,4.0,160.0
8457,5075,121,1924,0.0,5.0,159.0
